2021-01-06T14:04:28-05:00,SulkyDryer,12685,3.098
2021-01-08T18:01:33-05:00,MelodicVixen,37103,8.643
2021-01-14T23:58:05-05:00,TriteBuddy,14139,5.758
2021-01-19T20:43:27-05:00,TriteBuddy,48870,8.194
2021-01-20T23:02:05-05:00,PlausibleEthyl,13432,8.765
2021-02-02T09:41:27-05:00,MelodicVixen,37203,5.527
2021-02-26T07:59:33-05:00,AberrantReboot,32610,3.901
2021-02-27T17:15:47-05:00,AccessibleTinderbox,42224,6.314
2021-03-19T10:39:13-04:00,ThirstyChuck,21062,8.191
2021-03-21T19:58:25-04:00,PlausibleEthyl,29221,4.175
2021-05-08T12:13:53-04:00,AbackColt,43007,2.05
2021-05-17T16:07:21-04:00,ExpensivePoultry,11463,8.462
2021-06-01T15:53:18-04:00,ThirstyChuck,48456,3.863
2021-06-02T08:11:19-04:00,SulkyDryer,34270,2.558
2021-06-06T08:15:24-04:00,ElegantCreative,30664,5.492
2021-06-09T08:16:14-04:00,TastelessHabitat,41345,4.352
2021-06-11T22:50:36-04:00,SulkyDryer,45510,4.582
2021-06-14T23:51:02-04:00,DirefulKazoo,28535,8.781
2021-06-21T22:28:31-04:00,KaputStreet,44010,3.145
2021-06-22T08:51:34-04:00,PlausibleEthyl,28027,2.089
2021-06-27T17:31:48-04:00,TastelessHabitat,48975,4.6
2021-06-30T15:15:29-04:00,DirefulKazoo,48488,8.611
2021-07-09T03:57:16-04:00,AbackColt,38737,1.021
2021-07-12T18:44:13-04:00,AbackColt,17831,9.679
2021-07-29T02:56:42-04:00,AncientAncestor,19231,0.47
2021-07-29T08:13:15-04:00,ElegantCreative,48077,6.789
2021-07-31T09:37:07-04:00,AncientAncestor,17618,3.334
2021-08-01T13:25:50-04:00,AbackColt,43519,1.79
2021-08-03T06:49:38-04:00,KaputStreet,41456,5.271
2021-08-11T17:38:06-04:00,AncientAncestor,48702,0.051
2021-08-14T08:36:30-04:00,ElegantCreative,48797,4.168
2021-08-14T10:34:05-04:00,DirefulKazoo,42895,3.25
2021-08-28T13:17:21-04:00,TriteBuddy,46598,9.363
2021-08-31T03:24:56-04:00,AbackColt,46649,5.974
2021-09-06T05:46:53-04:00,ElegantCreative,20331,5.631
2021-09-23T04:27:31-04:00,TastelessHabitat,12442,4.434
2021-10-03T11:42:32-04:00,MelodicVixen,17033,8.539
2021-10-20T16:11:19-04:00,PlausibleEthyl,16358,9.456
2021-10-26T02:53:31-04:00,TastelessHabitat,35555,7.656
2021-11-03T20:52:32-04:00,PlausibleEthyl,12499,8.036
2021-11-20T17:17:41-05:00,DirefulKazoo,27885,0.687
2021-11-21T03:09:16-05:00,AccessibleTinderbox,43175,2.524
2021-11-28T02:49:04-05:00,DirefulKazoo,35105,2.92
2021-11-28T22:33:36-05:00,TriteBuddy,34962,1.104
2021-12-08T08:31:10-05:00,KaputStreet,35787,5.328
2021-12-20T18:44:50-05:00,ElegantCreative,36620,9.748
2021-12-22T07:13:03-05:00,SulkyDryer,19204,3.708
2021-12-23T20:12:42-05:00,MelodicVixen,35087,0.03
2021-12-26T00:59:34-05:00,AncientAncestor,44017,6.879
2021-12-31T13:38:16-05:00,TriteBuddy,20345,3.845
